pcap_name,session_identifier,service,protocol,duration,total_count_bytes,total_count_packets,src_count_bytes,dst_count_bytes,src_count_packets,dst_count_packets,src_mean_packet_size,dst_mean_packet_size,src_min_packet_size,dst_min_packet_size,src_max_packet_size,dst_max_packet_size,src_std_packet_size,dst_std_packet_size,src_bytes_per_sec,dst_bytes_per_sec,min_time_delay,max_time_delay,mean_time_delay,std_time_delay,src_port,dst_port,flags,http_method,http_version,http_accept,http_connection,http_user_agent,http_status_code,http_content_length,http_content_type,http_server,attack
broken_auth_2.pcap,192.168.16.2__59852__192.168.16.5__80,http,0.0,1.4286571597983506e-05,0.011207308844331614,0.040697674418604654,0.024948968019959175,0.010582864537727244,0.04142011834319527,0.045454545454545456,0.06647201178451179,0.23282301982999937,1.0,0.8918918918918919,0.34934991520633124,0.1547774053245422,0.3036478524278164,0.2052170966983831,0.8701750305359609,1.0,1.0500690420395141e-06,3.821553926485305e-06,1.0028794387469726e-06,1.9977578399615397e-06,0.5128205128205128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046511627906976744,0.0,0.0,0.0
zeus.pcap,192.168.10.1__80__192.168.10.5__1108,http,0.0,0.0004322142105752952,0.0005425571418870008,0.01744186046511628,0.009457926967566341,0.0003008860802942257,0.01775147928994083,0.022727272727272728,0.04225852272727273,0.013238987532945931,0.5,0.8108108108108109,0.12945166760881854,0.0063717206416045655,0.1421285867404763,0.0072157043615389905,0.015119338970986065,0.0011369124355146447,2.310151892486931e-05,0.0004859318126077537,0.0004812001446698136,0.0005142831273156049,0.6666666666666666,0.0,0.0,0.5,0.0,0.0,0.3333333333333333,0.0,0.0,0.023255813953488372,0.13333333333333333,0.0,0.0
zeus.pcap,192.168.10.1__80__192.168.10.5__1119,http,0.0,0.0005404866037667181,0.0005736223311029009,0.01744186046511628,0.009457926967566341,0.0003322892391598852,0.01775147928994083,0.022727272727272728,0.04225852272727273,0.014620726523034948,0.5,0.8108108108108109,0.12945166760881854,0.007562955370252375,0.1421285867404763,0.009047834556250758,0.012107300141667368,0.001005494232289612,2.800184112105371e-05,0.0005123335604751757,0.0006030666295996366,0.0005373035110262819,0.7948717948717948,0.0,0.0,0.5,0.0,0.0,0.3333333333333333,0.0,0.0,0.023255813953488372,0.13333333333333333,0.0,0.0
zeus.pcap,192.168.10.1__80__192.168.10.5__1083,http,0.0,0.0004390519454210353,0.0005678427610162218,0.01744186046511628,0.010478566568382853,0.0002935830200929095,0.01775147928994083,0.022727272727272728,0.04971590909090909,0.01291765288408802,0.5,0.8108108108108109,0.15488976823063877,0.006094689309360889,0.17087170007032573,0.006789634578903576,0.016161668138067534,0.001092163079567679,2.870188714908005e-05,0.0004936692798169339,0.0004888963882455816,0.0005224792735157478,0.38461538461538464,0.0,0.0,0.5,0.0,0.0,0.3333333333333333,0.0,0.0,0.023255813953488372,0.13333333333333333,0.0,0.0
broken_auth_2.pcap,192.168.16.2__59830__192.168.16.5__80,http,0.0,1.7812794761185216e-05,0.01111483572294475,0.03488372093023256,0.023542753458834203,0.010534664340398557,0.03550295857988166,0.03977272727272727,0.07395241477272727,0.2648715605585923,1.0,0.8918918918918919,0.3516110797060486,0.12217081751946145,0.3215778611232182,0.19121743041139502,0.6864619930382283,0.8277708111557237,1.4000920560526854e-06,3.6988867634129373e-06,4.670413040585953e-06,2.351739541908051e-06,0.3717948717948718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046511627906976744,0.0,0.0,0.0
zeus.pcap,192.168.10.1__80__192.168.10.5__1057,http,0.0,0.0005409986080667615,0.000572899884842066,0.01744186046511628,0.009457926967566341,0.00033155893313975354,0.01775147928994083,0.022727272727272728,0.04225852272727273,0.014588593058149156,0.5,0.8108108108108109,0.12945166760881854,0.0075352522370280076,0.1421285867404763,0.00900522645865823,0.01209590431142015,0.001002340287864537,3.465227838730396e-05,0.0005125883307369413,0.0006036429183698029,0.0005374543558569063,0.07692307692307693,0.0,0.0,0.5,0.0,0.0,0.3333333333333333,0.0,0.0,0.023255813953488372,0.13333333333333333,0.0,0.0
jsql_get_search_1.pcap,192.168.16.1__58234__192.168.16.2__80,http,0.0,0.0019176708151429698,0.0009326781227378401,0.020348837209302327,0.01267861193014289,0.0005915478763066088,0.023668639053254437,0.022727272727272728,0.0473682133838384,0.026028106557490785,1.0,0.8918918918918919,0.1554550593555681,0.016732692467518077,0.1556357926715139,0.022812702478276253,0.004351167171353778,0.0005065925065808859,1.7501150700658568e-06,0.0017457990648459387,0.001912945184798055,0.0017403170042018744,0.4358974358974359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.pcap,192.168.87.191__53143__216.58.210.163__80,http,0.0,0.9578680910604273,0.00212399200685457,0.09011627906976744,0.029394420503515536,0.0012575869666666423,0.09467455621301775,0.09090909090909091,0.019886363636363636,0.013833456633333066,0.0,0.7297297297297297,0.2312040700960995,0.020943568717621965,0.14917037704929986,0.016478215589060062,1.5037605646179104e-05,2.159634191843041e-06,1.4350943574540025e-05,0.09454681050655954,0.2613575824259418,0.14058887299970832,0.46153846153846156,0.0,0.4,0.5,0.0,0.0,0.6666666666666666,0.375,0.0,0.7209302325581395,0.06666666666666667,0.8888888888888888,0.0
jsql_get_search_1.pcap,192.168.16.1__58230__192.168.16.2__80,http,0.0,0.00220865442024502,0.005121421543058519,0.06395348837209303,0.06212293036969834,0.0032337950571427946,0.07692307692307693,0.056818181818181816,0.11252367424242425,0.056914793005713185,1.0,0.8918918918918919,0.15997738835500283,0.016732692467518077,0.20978231485243376,0.024102521423317185,0.016138020221765522,0.0024050307914237424,5.25034521019757e-06,0.0013798357377229609,0.0008210308161180313,0.0008935150490443137,0.41025641025641024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
zeus.pcap,192.168.10.1__80__192.168.10.2__1068,http,0.0,0.9829424941627174,0.000688491286575648,0.020348837209302327,0.012769335450215469,0.00034178321742159615,0.023668639053254437,0.022727272727272728,0.047920612373737355,0.015038461566550232,0.5,0.8108108108108109,0.17806670435274166,0.007923096102169156,0.1836595061702933,0.009601741188271125,5.2175110434143185e-06,5.719664198861284e-07,2.4851633994935167e-05,0.9810694561104063,0.9834213494464727,0.9811183265407071,0.21794871794871795,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.023255813953488372,0.13333333333333333,0.0,0.0
