pcap_name,session_identifier,service,type_of_attack
normal_traffic_1.pcap,192.168.16.2__59188__192.168.16.5__80,http,normal
broken_auth_2.pcap,192.168.16.2__59870__192.168.16.5__80,http,broken_auth
normal_traffic_1.pcap,192.168.16.2__59114__192.168.16.5__80,http,normal
1.pcap,149.154.167.51__80__192.168.87.191__53084,http,normal
jsql_get_search_1.pcap,192.168.16.1__58256__192.168.16.2__80,http,sql_injection
normal_traffic_1.pcap,192.168.16.2__59120__192.168.16.5__80,http,normal
broken_auth_2.pcap,192.168.16.2__59860__192.168.16.5__80,http,broken_auth
1.pcap,149.154.167.151__80__192.168.87.191__53244,http,normal
broken_auth_0.pcap,192.168.16.2__59734__192.168.16.5__80,http,normal
zeus.pcap,192.168.10.1__80__192.168.10.2__1063,http,zeus
1.pcap,149.154.167.50__80__192.168.87.191__53085,http,normal
jsql_get_search_0.pcap,192.168.16.1__58208__192.168.16.2__80,http,sql_injection
broken_auth_0.pcap,192.168.16.2__59746__192.168.16.5__80,http,broken_auth
zeus.pcap,192.168.10.1__80__192.168.10.5__1063,http,zeus
zeus.pcap,192.168.10.1__80__192.168.10.5__1084,http,zeus
zeus.pcap,192.168.10.1__80__192.168.10.5__1105,http,zeus
11.pcap,192.168.16.1__80__192.168.16.2__39964,http,normal
normal_traffic_1.pcap,192.168.16.2__59148__192.168.16.5__80,http,normal
broken_auth_2.pcap,192.168.16.2__59850__192.168.16.5__80,http,broken_auth
broken_auth_0.pcap,192.168.16.2__59728__192.168.16.5__80,http,broken_auth
broken_auth_2.pcap,192.168.16.2__59856__192.168.16.5__80,http,broken_auth
http_traff.pcap,10.0.16.22__80__192.168.16.22__35284,http,normal
1.pcap,149.154.167.51__80__192.168.87.191__53100,http,normal
1.pcap,192.168.87.191__53176__216.58.210.131__80,http,normal
jsql_get_search_1.pcap,192.168.16.1__58282__192.168.16.2__80,http,sql_injection
broken_auth_0.pcap,192.168.16.2__59722__192.168.16.5__80,http,broken_auth
normal_traffic_1.pcap,192.168.16.1__80__192.168.16.2__50778,http,normal
broken_auth_0.pcap,192.168.16.2__59710__192.168.16.5__80,http,broken_auth
jsql_get_search_1.pcap,192.168.16.1__58266__192.168.16.2__80,http,sql_injection
zeus.pcap,192.168.10.1__80__192.168.10.5__1069,http,zeus
normal_traffic_1.pcap,192.168.16.2__59092__192.168.16.5__80,http,normal
1.pcap,93.184.220.29__80__192.168.87.191__53225,http,normal
broken_auth_2.pcap,192.168.16.2__59836__192.168.16.5__80,http,broken_auth
zeus.pcap,192.168.10.1__80__192.168.10.5__1079,http,zeus
normal_traffic_1.pcap,192.168.16.2__59192__192.168.16.5__80,http,normal
jsql_get_search_0.pcap,192.168.16.1__58200__192.168.16.2__80,http,sql_injection
jsql_get_search_0.pcap,192.168.16.1__58056__192.168.16.2__80,http,sql_injection
normal_traffic_1.pcap,192.168.16.2__59108__192.168.16.5__80,http,normal
zeus.pcap,192.168.10.1__80__192.168.10.5__1072,http,zeus
zeus.pcap,192.168.10.1__80__192.168.10.5__1088,http,zeus
normal_traffic_1.pcap,192.168.16.2__59166__192.168.16.5__80,http,normal
broken_auth_0.pcap,192.168.16.2__59730__192.168.16.5__80,http,normal
http_traff.pcap,10.0.16.20__80__192.168.16.22__46322,http,normal
