pcap_name,session_identifier,service,protocol,duration,total_count_bytes,total_count_packets,src_count_bytes,dst_count_bytes,src_count_packets,dst_count_packets,src_mean_packet_size,dst_mean_packet_size,src_min_packet_size,dst_min_packet_size,src_max_packet_size,dst_max_packet_size,src_std_packet_size,dst_std_packet_size,src_bytes_per_sec,dst_bytes_per_sec,min_time_delay,max_time_delay,mean_time_delay,std_time_delay,src_port,dst_port,flags,http_method,http_version,http_accept,http_connection,http_user_agent,http_status_code,http_content_length,http_content_type,http_server
1.pcap,149.154.167.151__80__192.168.87.191__53244,http,TCP,0.304504,669,7,495,174,4,3,123.75,58.0,54,54,281,66,91.94121763387736,5.656854249492381,1625.594409268843759031080051,571.4210650763208365078948060,0.000063,0.112597,0.05075066666666666666666666667,0.04086297193738550822533149296,53244,80,FSRPA,POST,HTTP/1.1,none,Keep-Alive,Mozilla/5.0,none,none,none,none
1.pcap,149.154.167.50__80__192.168.87.191__53081,http,TCP,25.270422,3188,15,3068,120,13,2,236.0,60.0,54,54,320,66,119.82551417020436,6.0,121.4067576710828176909748480,4.748634589481726897952080104,0.000037,11.108583,1.805030142857142857142857143,2.961880823187833250584943643,53081,80,FSRPA,POST,HTTP/1.1,none,Keep-Alive,Mozilla/5.0,none,none,none,none
1.pcap,149.154.167.50__80__192.168.87.191__53085,http,TCP,21.840392,3188,15,3068,120,13,2,236.0,60.0,54,54,320,66,119.82551417020436,6.0,140.4736691539236108948960257,5.494406876946164702538306089,0.000073,9.614711,1.560028,2.556611273155429973026723205,53085,80,FSRPA,POST,HTTP/1.1,none,Keep-Alive,Mozilla/5.0,none,none,none,none
1.pcap,149.154.167.50__80__192.168.87.191__53089,http,TCP,12.266914,3134,14,3014,120,12,2,251.16666666666666,60.0,54,54,320,66,112.09061314648767,6.0,245.7015676477392765613258559,9.782411452464735629515296186,0.000064,4.810789,0.9436087692307692307692307692,1.296052528184074551997194253,53089,80,FSRPA,POST,HTTP/1.1,none,Keep-Alive,Mozilla/5.0,none,none,none,none
1.pcap,149.154.167.50__80__192.168.87.191__53097,http,TCP,12.770518,2494,12,2374,120,10,2,237.4,60.0,54,54,320,66,118.06794653927035,6.0,185.8969228969412203952885858,9.396643111892563794201613435,0.000061,4.689321,1.160956181818181818181818182,1.440873074402323372732850399,53097,80,FSRPA,POST,HTTP/1.1,none,Keep-Alive,Mozilla/5.0,none,none,none,none
1.pcap,149.154.167.50__80__192.168.87.191__53101,http,TCP,1.255607,1168,12,656,512,7,5,93.71428571428571,102.4,54,54,280,284,77.25600168218885,90.91886492912238,522.4564692614807021623804264,407.7709028382288407121017962,0.000042,0.806682,0.1141460909090909090909090909,0.2232320894855456139021855195,53101,80,FSPA,POST,HTTP/1.1,none,keep-alive,Mozilla/5.0,200,84,application/octet-stream,none
1.pcap,149.154.167.51__80__192.168.87.191__53080,http,TCP,21.706585,2548,13,2428,120,11,2,220.72727272727272,60.0,54,54,320,66,124.30833432827855,6.0,111.8554576871488536773518266,5.528276327206697875322166062,0.000060,10.733377,1.808882083333333333333333333,3.086550350848215638995826810,53080,80,FSRPA,POST,HTTP/1.1,none,Keep-Alive,Mozilla/5.0,none,none,none,none
1.pcap,149.154.167.51__80__192.168.87.191__53084,http,TCP,19.426094,2548,13,2428,120,11,2,220.72727272727272,60.0,54,54,320,66,124.30833432827855,6.0,124.9865258553778232515502087,6.177258279507964905348445241,0.000154,9.615488,1.618841166666666666666666667,2.756949552250059862447027036,53084,80,FSRPA,POST,HTTP/1.1,none,Keep-Alive,Mozilla/5.0,none,none,none,none
1.pcap,149.154.167.51__80__192.168.87.191__53088,http,TCP,19.459166,2548,13,2428,120,11,2,220.72727272727272,60.0,54,54,320,66,124.30833432827855,6.0,124.7741038850277550435614764,6.166759664828389870357239360,0.000060,9.604027,1.621597166666666666666666667,2.721517371760737488719762556,53088,80,FSRPA,POST,HTTP/1.1,none,Keep-Alive,Mozilla/5.0,none,none,none,none
1.pcap,149.154.167.51__80__192.168.87.191__53096,http,TCP,12.810686,2494,12,2374,120,10,2,237.4,60.0,54,54,320,66,118.06794653927035,6.0,185.3140417304740745343379738,9.367179868431713961297622938,0.000032,4.726173,1.164607818181818181818181818,1.447789997623576633147923118,53096,80,FSRPA,POST,HTTP/1.1,none,Keep-Alive,Mozilla/5.0,none,none,none,none
1.pcap,149.154.167.51__80__192.168.87.191__53100,http,TCP,1.252788,1168,12,656,512,7,5,93.71428571428571,102.4,54,54,280,284,77.25600168218885,90.91886492912238,523.6320909842686871202470011,408.6884612560145850694610740,0.000043,0.803513,0.1138898181818181818181818182,0.2223551854254883478522968394,53100,80,FSPA,POST,HTTP/1.1,none,keep-alive,Mozilla/5.0,200,84,application/octet-stream,none
1.pcap,192.168.87.191__53143__216.58.210.163__80,http,TCP,115.991243,3126,34,1404,1722,18,16,78.0,107.625,54,54,463,756,93.41306118525397,167.45629093885964,12.10436205084895934773282842,14.84594832732329629401419554,0.000041,10.020231,3.514886151515151515151515152,4.645238762452472371640186757,53143,80,FSPA,POST,HTTP/1.1,*/*,keep-alive,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:88.0) Gecko/20100101 Firefox/88.0,200,472,application/ocsp-response,ocsp_responder
1.pcap,192.168.87.191__53176__216.58.210.131__80,http,TCP,60.883976,182838,193,4014,178824,67,126,59.91044776119403,1419.2380952380952,54,54,258,1454,24.91162369902648,213.2728868446211,65.92867719414382529813755922,2937.127496403979924044382384,0.000000,60.013388,0.3171040416666666666666666667,4.319506731082328100619040063,53176,80,FSPA,GET,HTTP/1.1,*/*,Keep-Alive,Microsoft-CryptoAPI/10.0,200,171602,application/pkix-crl,sffe
1.pcap,38.90.226.11__80__192.168.87.191__53049,http,TCP,59.586564,3948,14,3828,120,12,2,319.0,60.0,54,54,406,66,150.7149627608354,6.0,64.24267054566193815102344213,2.013876819613226901286001321,0.000061,22.795988,4.583581846153846153846153846,6.218583751620136886371925376,53049,80,FSRPA,POST,HTTP/1.1,none,Keep-Alive,none,none,none,none,none
1.pcap,91.228.167.133__80__192.168.87.191__53189,http,TCP,0.610922,2483,11,1402,1081,6,5,233.66666666666666,216.2,54,54,587,563,249.8804158437036,206.89939584252053,2294.891982937265313738906112,1769.456657314681743332209349,0.000043,0.177758,0.0610922,0.06970621121650494640374017878,53189,80,FSPA,GET,HTTP/1.1,*/*,keep-alive,EIS Update (Windows; U; 64bit; BPC 14.1.20.0; OS: 10.0.19042 SP 0.0 NT; TDB 49412; CL 1.0.0; x64c; APP eis; ASP 0.0; FW 0.0; PX 0; CD 1; RA 0; UBR 928; HVCI 0; SHA256 1; WU 3; HWF: 0100B200-46A2-277B-5FDB-045C554A273E; PLOC ru_ru; PCODE 140.0.0; PAR 0; ATH 0; DC 0; PLID 3AM-R9W-9GN; SEAT f0520dc0; RET 0),404,146,text/html,nginx
1.pcap,93.184.220.29__80__192.168.87.191__53044,http,TCP,49.060512,270,5,108,162,2,3,54.0,54.0,54,54,54,54,0.0,0.0,2.201363084021626190937428456,3.302044626032439286406142684,0.000038,48.964173,12.265128,21.18823975071283499374911185,80,53044,FA,none,none,none,none,none,none,none,none,none
1.pcap,93.184.220.29__80__192.168.87.191__53225,http,TCP,0.933279,1546,8,754,792,5,3,150.8,264.0,54,66,290,660,113.74075786629875,280.0142853498728,807.9041744215823992610998426,848.6208304269141382159032829,0.000035,0.435384,0.1333255714285714285714285714,0.1421228755889546072048133444,53225,80,SPA,GET,HTTP/1.1,*/*,Keep-Alive,Microsoft-CryptoAPI/10.0,200,278,application/ocsp-response,ECS (frb/6760)
11.pcap,192.168.16.1__80__192.168.16.2__39964,http,TCP,6.437784,17426,18,1454,15972,9,9,161.55555555555554,1774.6666666666667,66,66,389,11323,134.5677120850409,3556.0662723483283,225.8541137757961435177073353,2480.977926566035766344443989,0.000042,5.005326,0.3786931764705882352941176471,1.195993152215800316364914121,39964,80,FSPA,GET,HTTP/1.1,"image/webp,*/*",Keep-Alive,Mozilla/5.0 (X11; Linux x86_64; rv:78.0) Gecko/20100101 Firefox/78.0,404,274,text/html; charset=iso-8859-1,Apache/2.4.41 (Ubuntu)
13.pcap,192.168.16.1__80__192.168.16.2__39972,http,TCP,0.120324,27315,27,2319,24996,14,13,165.64285714285714,1922.7692307692307,66,66,276,11267,98.65351137249219,3988.1896250312748,19272.96299990026927296299990,207739.1044180712077391044181,0.000028,0.038073,0.004627846153846153846153846154,0.007911806769692163403406489803,39972,80,FSPA,GET,HTTP/1.1,*/*,none,WPScan v3.8.14 (https://wpscan.com/wordpress-security-scanner),404,274,text/html; charset=iso-8859-1,Apache/2.4.41 (Ubuntu)
14.pcap,192.168.16.1__80__192.168.16.2__39974,http,TCP,0.506928,4469,13,625,3844,7,6,89.28571428571429,640.6666666666666,66,66,221,2962,53.84293105403713,1056.8321636959306,1232.916706120001262506707067,7582.930909320455764921251144,0.000021,0.255710,0.042244,0.08467874236882989198535316836,39974,80,FSPA,GET,HTTP/1.1,*/*,close,WhatWeb/0.5.5,200,3138,text/html,Apache/2.4.41 (Ubuntu)
http_traff.pcap,10.0.16.20__80__192.168.16.22__46322,http,TCP,0.075413,3133,11,1044,2089,7,4,149.14285714285714,522.25,66,66,376,1883,129.54362593508088,785.6361673828414,13843.76698977629851617095196,27700.79429276119501942635885,0.000014,0.072002,0.0075413,0.02148927945302028967031925890,46322,80,FSPA,GET,HTTP/1.1,*/*,keep-alive,Mozilla/5.0 (X11; Linux x86_64; rv:60.0) Gecko/20100101 Firefox/60.0,200,none,text/html,Apache/1.3.37 (Unix) PHP/4.4.4
http_traff.pcap,10.0.16.20__80__192.168.16.22__46324,http,TCP,0.000378,202,3,128,74,2,1,64.0,74.0,54,74,74,74,10.0,0.0,338624.3386243386243386243386,195767.1957671957671957671958,0.000013,0.000365,0.000189,0.000176,46324,80,SRA,none,none,none,none,none,none,none,none,none
http_traff.pcap,10.0.16.20__80__192.168.16.22__46326,http,TCP,2.602731,1475,10,695,780,6,4,115.83333333333333,195.0,66,66,357,574,107.89256487615611,218.84012429168467,267.0272110333338328086921007,299.6852152604322152385321418,0.000004,2.600741,0.2891923333333333333333333333,0.8172559041565051102048525655,46326,80,FSPA,GET,HTTP/1.1,"text/html,application/xhtml+xml,application/xml;q=0.9,*/*;q=0.8",Keep-Alive,Mozilla/5.0 (X11; Linux x86_64; rv:60.0) Gecko/20100101 Firefox/60.0,404,none,text/html; charset=iso-8859-1,Apache/1.3.37 (Unix) PHP/4.4.4
http_traff.pcap,10.0.16.22__80__192.168.16.22__35280,http,TCP,59.236462,196360,79,3559,192801,39,40,91.25641025641026,4820.025,66,66,419,17442,86.91956728411232,4949.355809029595,60.08123847774703357536781991,3254.768996838467496590191359,0.000005,10.239531,0.7594418205128205128205128205,2.635734164131245321408263438,35280,80,FSPA,GET,HTTP/1.1,*/*,keep-alive,Mozilla/5.0 (X11; Linux x86_64; rv:60.0) Gecko/20100101 Firefox/60.0,200,1391,application/javascript,nginx/1.6.2
http_traff.pcap,10.0.16.22__80__192.168.16.22__35282,http,TCP,59.167832,553703,167,7305,546398,80,87,91.3125,6280.436781609195,66,66,469,21786,88.9579386212945,5010.517035062063,123.4623570456324984156931760,9234.713889804176025918948661,0.000004,10.243445,0.3564327228915662650602409639,1.808827013336222506550301558,35282,80,FSPA,GET,HTTP/1.1,"application/font-woff2;q=1.0,application/font-woff;q=0.9,*/*;q=0.8",keep-alive,Mozilla/5.0 (X11; Linux x86_64; rv:60.0) Gecko/20100101 Firefox/60.0,200,103708,application/octet-stream,nginx/1.6.2
http_traff.pcap,10.0.16.22__80__192.168.16.22__35284,http,TCP,59.166935,1384372,347,15083,1369289,171,176,88.2046783625731,7780.051136363636,66,66,461,27578,84.75833676180501,5998.233933521492,254.9227875332734406472128394,23142.80771853400890210047216,0.000004,10.243451,0.1710027023121387283236994220,1.265504655208649946866369314,35284,80,FSPA,GET,HTTP/1.1,"application/font-woff2;q=1.0,application/font-woff;q=0.9,*/*;q=0.8",keep-alive,Mozilla/5.0 (X11; Linux x86_64; rv:60.0) Gecko/20100101 Firefox/60.0,200,41668,application/octet-stream,nginx/1.6.2
